Ano,Total,Vligeiros,Vpesados,velocipedes,ciclomotores,motrociclos,outros
2007,56812,44075,2451,1439,4430,3933,484
2008,53875,42328,2272,1415,3782,3650,428
2009,56692,45312,2210,1407,3705,3652,406
2010,98947,45857,4216,1406,4892,5128,787
2011,52118,41144,1890,1531,2967,3661,925
2012,47767,37569,1634,1487,2645,3660,772
2013,49155,38095,2260,1762,2737,3618,683
2014,48693,37909,1544,1914,2687,3945,694
2015,51574,39922,1614,2025,2816,4465,732
2016,52203,40627,1522,1956,2661,4737,700
2017,56014,42828,1657,2128,2882,5758,761
2018,55280,42402,1625,2056,2490,6011,696
2019,73032,45665,1679,2431,15106,7808,343
2020,44033,31863,1236,2367,1881,6372,314
